num_bedrooms,num_bathrooms,square_footage,lot_size,age_of_house,proximity_to_city_center,neighborhood_quality,house_price
4,3,1271,4545,59,5,6,391807.8371223974
2,3,2510,9414,29,14,1,422582.20578022837
2,2,3096,1863,11,17,6,439786.77519968944
4,2,1034,5625,48,12,4,390580.0515569923
3,1,1906,6307,94,12,5,366602.6900270366
1,2,1916,2425,81,3,10,435926.2127146887
3,3,2708,3304,45,2,7,566846.1435528393
5,2,2217,1653,42,15,6,525755.82691412
4,1,1623,9129,1,11,1,468451.9594377167
3,3,2091,7734,96,10,9,486120.6732281376
2,1,1431,1443,74,18,6,306916.3080783319
5,2,1328,8459,97,2,6,516946.97131814755
5,2,2780,5669,79,7,9,564100.0864202271
3,1,2969,6106,53,7,10,531510.4182816203
3,3,2857,5436,34,7,5,492518.66617568675
4,2,2139,3857,51,14,6,493925.10109525087
1,2,2096,4039,32,2,6,452993.85610552115
3,3,2129,9291,84,2,7,583663.1426542818
3,2,2033,3737,83,15,9,414722.6827059385
2,1,2781,7956,71,11,5,419132.45323541836
5,2,2553,6239,50,10,5,550029.6238402104
1,2,3311,2607,25,3,4,465823.5006752822
2,3,2748,3953,96,17,10,447222.6928469807
4,1,2927,6933,61,9,4,492015.53580142965
4,3,3327,5682,60,15,8,550803.7952580791
3,2,1701,7333,25,14,2,441364.0989685752
3,2,1690,8392,36,19,10,436082.2820522336
4,3,2370,7609,29,17,8,544199.5528270556
3,3,2624,5925,94,17,2,426341.60728462617
1,3,2865,8250,96,16,1,324334.4561010925
3,1,1988,6783,10,8,10,522326.8504326925
5,2,2348,7723,52,7,9,642201.6140867957
3,3,1001,1184,40,12,8,445461.7766289014
2,2,1540,1521,4,1,6,469908.06308393454
1,1,2169,2248,65,12,4,350259.61900196195
2,1,2189,2002,12,6,2,409253.6612102244
2,1,2800,7266,62,16,8,390675.10189599823
5,1,2271,7444,81,18,3,449191.09863162925
1,2,2336,8017,89,19,10,349274.51839672466
1,1,1118,9585,24,3,4,446947.8156249323
1,1,3064,2617,43,3,5,440817.69061344484
1,3,1857,1660,13,5,4,493161.61703904637
1,1,2694,6524,68,3,8,417055.2232869986
5,3,3113,8616,58,19,9,604135.3396566564
3,1,1523,6250,55,5,1,397393.15682461625
2,1,2500,8512,51,14,2,400479.6556388788
1,3,1212,7905,65,16,4,343515.5676669065
3,1,2075,1319,67,1,1,393263.3714429707
3,2,1200,9775,11,17,6,400603.90394992504
2,2,2639,4600,74,11,5,415477.05674151954
5,1,1523,6960,67,9,7,480605.75643962837
4,2,3129,6279,42,4,6,571490.8844711124
4,3,1935,9773,72,2,3,511007.84925399657
3,1,1550,2767,73,9,5,386041.6382793685
2,1,1067,2798,90,5,3,283993.33883640333
4,3,3145,9949,5,4,9,691971.2820422617
3,3,2140,1282,14,5,2,485165.69940763386
5,3,1369,7337,41,18,6,461961.4774949157
4,1,3356,6166,30,13,9,590982.3784555998
3,3,2773,8121,85,5,10,533588.2197076614
3,3,1345,8409,52,19,7,404060.31025238184
1,2,1164,6489,5,3,5,429468.2712546664
5,2,1346,5896,32,18,2,457345.79051635595
1,1,1070,1130,28,6,2,323709.60194310744
2,2,1538,2293,20,6,4,436986.2083118667
1,2,3384,7059,53,5,10,524935.9366000876
1,3,2057,7957,55,1,2,424758.75939059147
4,3,858,1060,93,8,8,421858.06916201016
3,2,2074,3211,20,1,10,575665.6559004256
5,2,2670,7276,99,6,7,528928.8106737935
1,2,885,6363,54,14,7,362838.9971369052
5,1,1562,9152,57,11,3,434226.8440374464
1,1,1189,8973,63,2,7,340687.9716198658
2,1,2003,1037,85,4,8,476830.91510925046
1,2,1518,6990,45,13,5,348685.7827264062
4,2,948,6438,83,7,1,401543.2446772837
3,1,1382,8677,21,6,1,449250.771048994
2,1,920,1473,59,3,4,370049.35780625953
1,2,3452,1058,10,9,2,455823.31951006496
5,3,3103,3636,46,14,7,587225.1204968586
2,1,1565,3614,30,11,3,332229.2447673768
2,2,1599,8296,76,5,4,443591.6943454569
1,2,2906,5999,17,14,9,465001.85004543327
2,3,1821,9276,21,19,2,386530.4759314781
5,2,2269,4797,55,8,8,555315.6621760062
2,2,3235,3674,16,7,1,479086.006129076
5,1,1909,7436,37,7,3,479336.16794266517
1,1,2050,4120,24,3,4,450718.4763013672
3,3,3440,3076,31,3,6,618984.982087207
2,3,2449,4190,14,18,1,419071.1801081423
3,2,2615,5787,12,13,8,521122.17360008124
5,1,2145,7056,57,1,2,533024.8967961117
2,3,2141,8494,89,5,5,426920.28418056085
4,3,3413,4577,49,4,6,644640.7960084454
3,3,3246,5741,10,16,8,572303.5228870857
2,2,2532,7832,12,15,3,473840.53817431786
3,1,1698,3581,96,18,9,356797.49184541043
2,3,3140,4787,49,17,5,459149.3295510236
1,1,1284,9707,37,14,8,396956.52653646667
3,3,1602,8103,0,14,4,529257.1287951111
4,3,2515,1932,38,19,9,557555.170437622
4,1,2715,2663,26,6,8,579667.3654844463
5,1,2557,9748,35,13,5,541826.0858239399
2,1,2609,8914,31,18,3,383518.28274350933
3,2,3091,5852,40,15,1,454486.7435276358
5,3,2243,2104,14,7,5,556635.7704000818
3,2,2752,2270,30,19,5,458804.5533421193
2,1,3120,4646,5,17,4,460939.26651733933
4,3,2470,6087,88,9,10,489739.8714632952
1,2,2648,5723,51,11,10,464537.4652297927
4,3,1319,3054,81,5,8,489483.87247722765
5,2,1951,7658,21,2,3,557431.2535715244
1,1,2196,2842,30,15,10,422277.2209714143
5,2,3415,3802,99,12,9,519612.94391609216
2,3,3485,8735,72,10,3,459058.39236099354
1,3,3006,9201,45,10,4,488776.4540790983
5,3,1451,9313,66,11,6,499503.29164114443
2,3,3023,7105,96,10,9,494961.97453287273
4,1,2750,3560,90,7,10,499516.9709822855
2,2,3467,4037,42,14,2,443948.3505819214
3,1,1010,9632,0,13,2,336845.69549662
2,1,3294,3749,43,5,2,479097.2984605192
2,1,1385,1590,56,19,5,348218.3209738118
3,3,966,2368,8,10,6,430778.561269634
5,3,3307,2361,4,8,3,594924.6953122608
5,3,2056,9128,78,18,3,463205.99745593703
2,2,2005,4773,8,1,2,508415.98226266867
3,3,2538,3064,44,5,6,527039.5670654264
3,2,1852,3415,91,11,1,316112.0494796874
4,3,1513,3951,76,11,9,471287.56908405316
5,3,1487,6616,23,16,10,525449.6979922052
1,1,1129,8975,73,10,4,283653.8426782806
5,1,2546,8101,41,15,2,468001.9725211671
5,1,2007,6003,21,7,6,519125.8852939593
4,2,2942,9306,59,15,5,481570.3568956359
1,2,1584,7243,85,16,3,287792.3500055561
4,3,3496,7581,36,6,3,596918.8953034307
1,2,3200,9330,38,11,5,429390.4916544758
2,3,1740,5923,83,17,4,356678.5430627334
1,2,2088,7467,73,15,5,339252.6534217151
4,2,2479,5941,73,16,2,436779.5380888152
5,2,3493,7437,89,2,1,567473.4380171965
1,1,1425,7076,88,4,5,320864.4704761238
1,2,938,6648,52,19,1,265197.69235094334
3,1,1561,9001,27,6,3,417129.09900752926
5,1,2633,2315,76,18,8,505689.05157088226
2,2,3102,1073,14,11,8,499340.5949785884
4,3,2355,9675,59,9,9,571593.7402156378
2,3,1475,2549,59,3,1,382706.771383893
5,3,891,2359,5,2,4,511204.63714406
1,2,1892,2896,51,18,6,364810.89404463273
1,3,836,7659,11,15,7,373423.7047783302
5,1,2587,6246,18,18,5,467586.19587554235
1,3,2987,7967,95,19,7,321200.66592079925
1,2,2001,7661,74,15,10,372156.8826393007
1,3,2636,1510,96,17,8,409727.71048247436
4,1,2694,9614,1,18,10,593985.4616875915
4,2,936,3432,54,18,6,365131.0399413117
3,3,3037,2906,14,11,4,522206.62713246554
2,2,2463,1064,63,18,1,321719.1731110994
5,2,3189,5928,99,3,5,519898.1963637608
5,2,2382,5710,68,13,10,519509.2032094164
5,3,1771,7124,14,14,10,610450.7379850196
3,2,1461,8837,42,4,10,530158.196784485
4,3,3090,1800,73,18,4,473727.2214632472
3,1,2610,7063,16,5,5,487310.33470847853
5,3,1214,9469,97,14,4,424624.5803508494
2,1,1142,7109,23,12,9,357830.87576279946
1,3,945,7659,73,7,3,353297.0672815133
4,2,1122,2238,29,12,3,420278.37251842854
4,3,2969,7582,66,8,10,561565.1886975042
3,2,2075,5523,50,3,7,545729.638937251
4,1,2678,6620,59,1,2,454855.8835207855
5,3,3158,2486,2,3,9,711615.6545562401
5,2,1400,5681,4,11,8,561922.2942244665
3,1,1274,5470,27,18,6,352118.23901618796
5,1,3417,6619,77,7,9,587760.7327297471
2,3,2315,9284,10,9,3,447681.3039461784
3,1,1374,8177,71,4,4,331071.6420918297
2,2,1146,6441,71,10,7,348926.0943267085
1,1,2310,2840,75,18,1,253604.37644345008
2,1,1181,6397,14,16,1,340347.4045202698
1,2,2103,2621,82,12,1,302698.2021265205
1,1,871,2561,47,19,8,291571.63648465363
2,1,3368,6849,45,3,6,493586.4594179104
3,1,1917,2416,27,8,3,412847.7173989653
5,1,2196,5190,6,19,10,521121.83475327096
5,2,3186,6054,70,9,7,541837.6498242548
1,1,2159,2130,93,19,6,271497.51432531857
1,2,1463,4597,81,17,5,292803.80962740834
3,1,2315,3118,87,13,3,348788.03701439494
4,1,2691,1663,5,2,4,546451.4332643757
2,1,839,3634,57,4,1,333224.8702727847
1,1,2182,3774,67,11,9,375903.1395327324
5,2,2830,7194,54,2,5,555732.8342253027
3,2,3421,4969,66,4,2,514043.33804003097
2,2,2077,4490,48,4,9,495966.24121270713
3,3,1765,2523,50,1,7,519035.48745430785
2,1,3428,9053,58,11,8,511204.96643839276
2,1,2700,1987,5,2,3,497377.03818269866
1,2,3017,8915,89,19,7,384313.2173117826
3,3,1500,7403,50,8,1,476995.3165713023
3,1,1310,6321,37,4,6,415338.7813424511
5,2,2083,4845,10,16,10,554024.568037786
5,1,1383,7301,51,15,6,469236.35911695415
1,1,1783,1098,92,5,10,379008.6573023894
1,2,1258,3288,19,5,6,427712.07585028093
4,2,3376,5297,9,15,3,544934.9107384218
5,1,2705,9825,25,17,6,569076.4137789996
2,1,3188,8796,47,3,3,458600.22860916884
3,2,2904,8263,90,18,10,503550.4972351678
1,1,3065,9770,13,11,9,533834.9123301067
3,1,3466,4959,99,6,7,458919.7721442405
3,2,1615,8385,58,12,4,423671.6352471918
4,1,3311,9464,11,17,3,516866.00169408525
5,1,1046,6338,22,14,6,444149.4495220234
1,3,1529,5881,84,6,9,362877.52025705704
3,2,3220,4954,71,10,3,439591.65822206705
1,3,1216,4927,38,16,8,395283.80350461474
2,3,1854,9644,8,18,6,473978.0317315139
4,3,1167,5911,87,6,4,423815.2379855957
2,1,3406,1413,94,19,5,385963.6285785821
1,1,907,2550,24,3,3,367631.5019473534
1,3,3431,5526,16,12,2,475993.9989656587
5,3,1638,8141,41,16,9,517264.6594037449
3,3,1217,7571,28,3,3,481589.3528203911
3,1,2443,2946,59,16,6,424162.6176914716
2,3,1620,6203,66,4,5,450457.60975875775
4,3,2221,1191,84,13,10,517258.081750056
3,2,1482,1040,56,4,8,427165.88570196944
5,2,1055,6892,71,4,5,459677.76886585646
2,1,1637,4449,13,7,8,409731.4663578045
2,2,3082,9327,38,12,5,502755.9009588837
5,2,1352,6909,15,2,10,598019.2138004896
4,2,980,2941,17,16,6,441593.3517674354
5,1,956,5221,94,7,5,367571.03129524604
4,2,2277,8524,74,19,2,435446.52124232624
5,1,1370,7543,19,11,10,507270.5208845181
5,3,1656,7222,45,1,10,633830.0826095615
1,2,2584,9580,44,9,6,451888.75427231356
2,1,2527,2558,3,5,7,501287.93056184554
5,2,1847,3121,83,17,3,396958.99733469565
5,3,2296,2028,94,1,3,495932.42476709676
3,1,2223,9273,19,17,7,497348.9044225192
2,1,1391,6656,10,12,10,449833.3208588061
3,1,2981,9967,64,13,4,418220.4617411695
2,3,1220,4038,17,11,2,381514.994949129
3,3,3060,2878,38,13,9,551842.4756800735
5,3,3329,3271,43,13,9,640708.1320361331
5,1,1147,2607,96,6,6,404055.5069870698
1,3,965,4139,99,6,2,278222.5861048863
3,2,1736,1605,17,10,3,435200.80317868514
4,3,1147,5735,46,19,5,435390.6204986831
1,1,1197,4665,30,3,5,344626.13661009923
3,2,1382,6852,98,7,9,439289.86577479367
3,3,2400,6462,38,5,10,564784.4367467836
1,2,1107,3144,37,8,3,329671.1854562878
5,2,3313,5270,78,5,2,588499.3936282437
3,1,898,9107,46,12,10,421309.2693862119
5,2,2065,2376,69,4,8,560245.3437577145
1,2,957,4462,7,19,7,367208.8459300837
5,1,3457,1347,85,18,9,482390.40214753733
2,1,1353,1000,64,3,3,305515.1418694274
4,1,1450,1062,12,7,6,499210.55231042276
3,2,3074,2783,54,8,5,470960.34518878703
4,2,3270,9417,87,15,5,448146.4261357243
5,2,3090,7566,84,17,10,573852.055371105
3,1,3377,2042,42,19,8,452490.3316556102
5,3,1868,2234,3,4,1,527789.0631078902
2,2,2295,2984,70,16,1,383061.3288772324
1,3,3218,2594,59,13,3,373188.6159654607
3,1,2678,7257,11,12,2,433263.84896482684
2,2,3499,2952,58,4,2,464313.54643815197
2,3,1533,2695,76,12,2,332728.57900413946
3,2,2750,1954,53,17,4,403018.3679470587
5,2,891,4291,43,9,1,390456.6225669271
2,2,3019,9548,15,12,10,592343.8581107983
4,3,2427,1968,5,15,9,573828.653102618
2,1,2015,1241,13,2,5,476102.2186052297
5,2,1900,5234,57,9,5,495271.3705860366
5,1,2104,9338,30,14,9,550450.3737214784
4,1,2187,8349,99,4,5,478719.5415277398
2,3,978,6161,40,4,8,432475.52463636664
5,3,3085,9734,34,6,1,596072.8999129495
3,1,1079,9883,9,5,1,437000.0578351973
1,2,1842,2025,80,17,4,331794.9336596065
1,3,2418,4359,29,13,8,508674.274495044
1,2,1170,6257,43,17,3,301017.494924544
2,2,2600,6736,54,19,1,389673.97374217835
4,2,2503,8679,70,1,9,509432.80166571133
5,1,3068,3951,17,17,9,612060.0727344179
3,2,1103,9921,82,3,9,439765.9084569799
3,1,2148,8389,78,14,9,428539.5637753027
2,1,2260,3555,85,12,2,339692.61210917553
1,2,3285,2150,38,15,4,413863.94081711216
2,2,1993,2735,41,6,2,411766.33448920335
4,2,3222,8931,53,2,7,644585.3242056536
4,2,3228,2038,29,4,3,548908.4988663507
5,1,2861,7369,19,13,9,563983.9045874862
5,2,1468,8127,95,13,7,493117.5964324638
4,2,1299,3912,41,17,8,453855.10542511696
4,1,2214,5840,88,6,9,538275.9743828366
4,3,2372,2242,86,11,8,515916.7477644726
2,3,3412,9964,4,19,7,508402.14019966405
4,1,1329,9098,49,16,9,460878.61679392203
3,3,2806,4412,40,8,1,458937.29835293617
1,1,3339,3499,93,1,4,419632.79506099166
4,2,2019,8160,38,10,4,485537.1399098061
1,2,1554,7110,56,2,5,362588.4048841736
2,3,3147,4545,90,19,8,415664.73776095535
1,2,1614,2213,56,14,10,436468.6825039775
2,3,3394,1418,36,3,1,508913.4351210291
3,3,1526,5960,6,9,6,498790.0966334262
2,2,1530,1788,4,8,9,523186.2554985231
2,2,1627,2871,78,11,10,397057.1172482708
5,3,3449,3025,50,15,8,594239.490950772
4,2,2131,7264,7,6,2,546112.0714030713
4,1,2846,3446,55,2,7,537619.6050345913
3,2,1674,8429,72,1,5,443323.9815161875
3,2,2978,5823,10,3,2,485025.0896159821
4,1,2803,9752,21,18,1,434993.54216543096
5,2,2477,3651,97,14,2,404152.3063502597
4,2,1407,1539,98,17,10,405931.16738671524
5,3,2873,7499,76,2,6,584885.5433568056
3,2,2277,5755,10,19,8,540065.4752714299
1,2,1434,6959,59,9,3,312136.27674412983
3,1,2009,4289,95,8,5,423333.16717143514
3,3,1283,6546,14,10,2,445281.82387818873
2,3,1874,3758,37,9,8,493143.35089280974
2,3,2714,6311,0,8,4,543283.4898683968
2,2,2852,5107,45,7,10,472465.11174218956
2,3,1388,2895,87,6,6,390796.18302558607
5,1,3055,3500,42,2,3,554694.2965691542
4,3,3104,3829,21,9,8,582362.5476327183
1,1,2028,1047,2,9,8,449031.6509303967
3,3,2773,3364,13,19,3,513655.5078969368
5,3,2858,6666,1,9,9,600072.9089028983
1,1,1748,7458,60,2,10,426412.258103957
5,3,2855,9945,31,19,5,525440.8458971594
5,3,2879,9177,37,16,10,616275.4456559423
3,3,2807,8630,96,14,9,482099.4679212501
4,2,3387,8931,45,1,7,611001.0696810705
2,1,2541,8058,41,13,10,492461.67070822645
4,3,1186,3802,5,2,3,556610.5325264274
3,1,2051,9594,40,14,6,507864.9662939459
3,1,3487,3086,24,1,10,596117.2737882853
3,1,2590,7724,97,15,2,315150.1112045483
1,3,2298,7155,10,18,6,450344.9108519585
4,3,1006,2149,40,9,5,492009.1183830801
4,1,2618,1062,70,8,3,464428.24917601823
5,2,2580,4153,56,7,7,600617.6759882577
5,1,3404,6938,45,9,4,555376.8332349471
5,2,3195,1751,85,9,6,519763.6390056718
3,1,1592,8776,47,11,9,456813.8976850328
4,1,3081,9849,62,4,6,543333.1703158278
3,1,2524,1700,38,7,4,474877.3505335086
1,3,1805,2540,9,7,10,518114.19445008726
5,2,1741,4032,84,4,2,481348.0916142971
3,2,1965,7167,69,12,9,473515.81677010976
3,1,3023,7364,64,17,4,430387.5581668825
1,3,2477,2983,97,3,4,420659.6672312712
2,3,1248,9506,58,9,2,328843.20230868197
4,2,1391,6796,77,5,5,453202.26880834857
2,3,881,8648,35,16,6,386305.9514292613
5,2,2982,8894,26,8,10,655109.0098992889
3,2,2206,3314,72,16,6,406051.4113436442
1,2,2280,8959,54,19,3,352673.3873365404
1,3,3287,2649,69,16,9,438931.9269616496
4,2,1879,8700,94,18,7,444288.0857363407
2,2,1218,7900,80,15,3,321441.24443533685
4,1,887,4800,52,18,4,350517.14644709654
3,2,1014,3478,59,14,7,364696.085734097
4,2,2558,8054,60,16,8,522444.92213019764
1,1,3399,7059,35,5,6,496293.4924623623
1,1,2320,9433,84,8,4,341411.9151615771
5,3,2517,7209,26,16,2,520060.461439669
5,2,3350,8115,40,1,10,702572.065481031
3,3,3092,3256,27,11,8,576157.3384704957
2,3,2301,4368,15,11,1,450329.22419520386
4,1,1108,8387,34,2,9,518874.2847935269
3,3,1030,9558,35,19,8,455819.4883325474
5,2,954,3827,55,5,3,480125.9125952902
4,1,1998,3487,98,3,10,505794.0653918885
5,2,914,4603,18,8,4,466822.7181286073
4,2,2213,4521,56,4,10,531761.457067737
2,1,1110,5517,84,13,4,279452.50582571013
3,2,1792,2643,32,14,2,444370.4186994181
4,1,3147,2212,22,1,10,634028.3978456839
1,2,1841,8345,62,5,5,453246.04568815965
1,1,811,5703,69,7,3,280654.0414103141
4,3,2227,6434,95,6,1,439181.65823767695
4,2,3079,1019,21,15,2,489155.58658389817
4,1,2813,1675,66,15,7,462370.64799866744
1,2,1529,5477,98,8,1,265539.7272033069
1,2,2101,1608,79,2,2,332152.79329583305
4,2,2176,7286,58,14,10,525191.4156795216
5,1,2836,1061,24,16,7,557355.517939934
5,3,3150,2154,16,10,1,629086.53251666
2,3,1340,4716,38,15,7,397305.17733272444
3,3,3317,6242,76,4,8,559759.6128283981
5,1,876,6559,91,12,2,333196.2676387246
1,3,823,6022,74,10,4,343359.1857343392
5,1,1838,7485,73,2,7,541729.6863699066
2,2,1475,2442,38,4,1,361152.63545313687
2,2,3372,2653,23,6,6,511004.04782567645
3,3,3194,3502,37,14,5,537018.8689648975
5,1,971,4269,87,3,6,448936.9037802102
1,2,2692,1281,96,15,8,386402.7178252786
1,1,1288,4403,80,1,1,280539.78804152715
4,1,2285,2235,56,19,3,343011.8784022448
1,2,3225,5760,43,1,9,518655.8745829958
3,1,3219,7940,35,13,8,541964.1682502807
3,2,1556,1785,98,8,4,417931.44946587225
1,2,3324,4194,69,18,10,429045.4002618098
1,2,3229,5789,79,3,9,551713.3970469217
4,1,954,4775,44,18,7,408770.4941872922
1,2,1056,6350,91,9,2,241024.19245727934
4,1,2579,1533,95,6,1,413899.8459452758
4,2,1473,9593,25,2,1,509028.3569602965
1,2,2915,4663,10,4,3,419101.9275361828
2,3,3191,1129,51,18,10,508048.27894783457
2,3,1472,3959,24,7,2,445795.0294955778
4,3,3238,2858,30,11,4,565445.7031032785
1,1,2272,4649,84,5,8,397003.9697329644
2,1,1058,4097,44,8,5,356867.83542496484
1,2,1106,4512,66,11,5,312052.94180770445
1,2,1918,5860,75,15,6,314080.5049058223
1,2,1045,9833,39,3,5,380560.9042023758
5,2,2458,1723,45,7,5,527654.148858696
1,1,986,1737,53,8,7,334348.35865564353
5,2,2597,2299,40,11,6,527826.6310585734
4,2,1724,4480,88,10,10,449911.76893755177
2,3,1584,1339,80,9,2,367211.27147814614
2,2,2395,1152,37,15,1,380471.3492986964
2,2,3255,6684,99,5,1,405321.2615802608
2,2,2160,4051,35,15,4,412809.9617871897
2,1,1140,1426,82,4,2,297949.0526578516
2,3,1362,8146,43,5,6,456114.625737203
2,2,1450,9125,56,15,9,433251.1013680717
4,2,1993,7347,65,17,10,466597.4726708434
1,3,868,3372,80,8,10,344205.70980415645
3,2,2383,9126,29,19,8,478899.63542446645
5,1,3228,1949,9,9,4,539160.3745953634
3,2,2904,8695,98,10,2,416348.7872662256
3,1,2100,2373,60,5,1,390103.0630171636
1,1,1922,8082,62,10,7,316753.89690236095
1,2,1715,3482,35,1,10,489461.8790936128
1,3,3172,8593,53,4,3,476811.755832967
2,1,1260,1370,96,5,6,365657.4113192984
4,3,3026,8837,64,7,5,564199.2994948521
2,2,1643,3296,81,5,5,404428.2142578887
4,1,1373,8034,3,8,2,489502.9688301761
4,2,918,7324,54,17,9,425579.07293073134
3,3,3396,8142,53,1,4,576205.4202784025
3,2,1445,8028,90,18,10,356995.4194152442
4,2,2278,7479,88,12,1,439325.44363085605
4,1,2873,5145,63,3,2,487442.5650069611
2,2,2313,5021,91,14,9,384569.7362413005
2,2,2831,3364,21,16,7,489135.06216218567
3,2,1831,6230,24,18,10,421745.4702008937
1,1,1768,6970,80,10,2,288578.1444281705
4,3,2810,9954,58,15,7,560069.776030296
2,3,2339,8300,56,10,4,434906.95370085235
3,2,3380,7755,53,1,10,596316.9512262854
2,1,2996,2004,43,19,2,357408.1300721762
4,2,2311,8057,51,2,4,478472.76838828565
4,3,1848,4755,75,13,5,464551.96079457586
5,1,1454,3846,15,16,4,446165.8489505772
1,3,2754,7262,15,8,3,467677.88475013094
5,3,1354,9541,80,3,6,514606.284589774
3,1,1224,3964,54,19,1,294443.9949616146
2,1,1092,9878,60,14,8,380569.9342668017
3,2,2008,5637,94,11,5,397009.4114700188
4,2,3401,3755,78,12,8,499274.0862955047
5,3,1230,4624,76,11,10,518759.9030386017
5,1,3451,3732,39,11,4,562210.2422751057
5,1,1116,7473,90,18,4,363357.1749554115
3,2,1197,7351,20,10,5,468784.03267403296
4,3,2147,2693,65,16,5,451188.46691032394
2,3,2388,1684,7,8,6,535236.4022247314
2,2,1395,3919,70,6,5,416687.27553695993
3,1,3393,8166,9,19,5,514705.82213811204
5,2,2923,4756,56,13,8,540719.6594530515
1,2,2743,6454,3,15,6,455242.357037439
3,2,1715,4283,42,13,2,422570.40085145936
3,2,3333,5691,99,1,4,462282.3033482623
4,1,2055,7828,98,2,4,438435.1582955348
2,2,3397,8350,62,13,5,459325.8790888314
3,1,1775,2156,42,2,6,441587.73499115667
3,2,1875,4061,66,11,5,436754.97374796966
5,3,2044,8157,81,13,6,510091.3767760194
5,1,2251,6919,50,10,8,515530.5410849877
1,3,1966,6893,55,15,4,384116.823005896
4,2,2828,5445,42,1,3,546774.5941332945
1,2,1162,7436,23,14,9,375153.1356694414
5,2,3229,2292,95,10,3,475503.0397439283
2,1,3118,8902,33,18,8,480507.2768693985
5,3,3145,3067,58,11,10,636926.246963046
4,1,1033,2979,1,7,5,452417.7941761303
5,1,3422,2736,1,15,9,626919.0333417252
4,2,2531,2918,9,3,3,590847.8539394371
4,3,826,1700,22,2,10,512928.2360907437
4,2,2294,5046,14,8,10,594729.7468209655
4,1,892,3073,75,8,8,429585.3922823852
4,2,3464,5661,16,11,7,596804.2545850292
2,3,1108,1394,81,16,7,369539.0802713912
1,2,851,4048,13,2,10,506664.9259565321
3,3,1118,4452,80,5,9,462839.8837096576
1,3,2792,1522,78,7,8,445326.25669305003
4,2,980,9741,75,13,3,402647.5701915489
2,1,2392,2468,15,2,6,513055.72150944755
5,2,1446,7230,31,3,6,485019.2261270454
2,1,2761,9116,22,9,5,478329.61109772214
4,1,2083,7811,33,10,3,454718.0133315222
2,2,3044,2421,97,13,9,447380.64228784794
2,1,3492,8987,15,13,7,516719.54299265525
4,1,3102,1285,33,5,4,528825.5976932249
2,2,2824,3745,70,7,6,435854.68101347296
3,2,1135,8108,32,17,5,412437.23046061216
3,2,2376,5464,67,15,1,424568.0555367183
2,1,2325,2445,42,5,2,385393.2012696241
5,3,1789,6837,63,7,1,447034.6244213257
4,1,2078,2466,70,2,9,511798.0804956866
3,3,1313,8167,17,18,9,472434.6084741184
5,2,2829,9479,67,10,5,572160.319653009
2,3,1041,5426,60,1,8,422598.1261905367
5,2,2996,6932,74,14,10,553147.1206243975
1,2,2533,2178,19,19,4,325491.41901832866
3,3,3467,3551,10,16,1,538377.5909052956
2,2,3300,5370,78,19,4,404373.6157080841
4,3,3059,7322,45,6,7,588330.1771504801
2,2,1467,5862,63,12,2,304879.2130352206
4,1,1393,6855,80,3,2,374453.0985455687
2,1,2978,2203,97,7,6,423865.67249478475
5,2,3459,8349,75,3,9,610311.3738599822
5,2,1055,7386,27,17,3,435508.13557871425
5,3,2302,2119,47,15,7,580530.6215283758
1,1,1360,9388,34,19,10,358474.3094263795
4,3,2910,4975,7,19,9,554388.8889006405
5,2,2134,9717,90,11,9,530401.1801363191
1,2,1206,2292,21,2,4,365531.2064804568
4,3,2660,4655,23,7,2,581964.613258235
2,2,2862,5786,65,19,1,395548.4917132084
1,1,2510,3217,94,7,6,362046.70952615887
3,3,1058,7590,85,10,5,368237.6704643945
1,1,1522,2017,63,12,6,308506.753180616
1,1,2082,6176,64,18,7,331236.3596978643
4,1,1413,4590,13,6,9,531009.1782926766
2,3,2494,9239,24,8,10,584407.8082325279
3,2,2778,7176,99,5,10,490515.18423103524
5,1,1612,7647,99,3,6,494813.7391335686
5,1,2586,5722,2,2,6,629908.1403202824
1,1,1130,7015,4,6,3,360850.2627298348
4,2,3012,6122,64,7,8,532798.2026080748
4,2,2016,8683,53,8,9,536754.8179323142
5,3,2344,3089,18,4,1,531977.2879074479
3,2,2197,3056,96,12,6,428610.02122906514
2,3,1186,4680,53,12,7,372242.9306966949
3,3,2318,5885,93,17,8,449247.6548290786
2,3,2617,4114,75,19,10,441176.59087962296
5,3,2617,8383,9,9,8,627983.3778906199
2,3,2614,2629,97,12,7,419016.21234201774
4,1,3175,2543,15,17,8,563378.5792408551
1,2,2315,8512,45,10,9,426479.5647751553
1,1,2040,6769,28,19,10,389003.0861202046
5,3,1119,2904,14,11,7,506868.4108828203
4,2,1198,2436,47,13,3,394242.57166128216
3,1,2714,6031,10,4,9,556675.9776871837
4,1,904,4317,33,15,1,305948.9689403346
1,3,1495,5116,35,12,8,388719.56132669095
1,1,1129,5552,29,10,6,395049.8754634528
4,1,1459,6563,98,7,3,385807.2052821568
4,1,3446,7123,72,2,9,596978.0513452019
1,1,1620,4061,81,7,6,330117.69024978403
3,1,2772,9089,18,8,7,536576.3643972707
5,3,3488,9456,67,19,2,510022.7019292155
5,3,2593,4731,69,6,1,528016.2132760267
4,1,3161,7327,32,8,1,510551.22135648434
5,3,1261,4317,95,4,3,421719.2947460346
1,3,2407,3046,79,9,3,381831.1125776048
1,2,3333,4144,74,5,8,418613.45191821124
4,1,2475,4221,21,6,7,555759.4799919446
4,3,3257,6064,35,19,10,545808.0785790869
4,3,2874,1722,22,12,8,574464.6228457481
